Name,Distance,Latitude_x,Longitude_x,Latitude_y,Longitude_y,Rating,Review Count
Bar e Restaurante Marisqueira,,,,-8.0073512,-34.840877,5.0,1.0
Benvinda,,,,-8.10566,-34.889524,4.5,3.0
Bodega do Futuro,,,,-8.0427656,-34.8987312,4.0,7.0
Bogart Café,,,,-8.0546198,-34.8881798,4.5,5.0
Buca Trattoria,,,,-8.0451803,-34.8933601,4.5,3.0
Cachaçaria Tradição,,,,-8.0449434,-34.8997402,4.5,5.0
Cais do Sertão,,,,-8.060006,-34.869925,4.5,5.0
Cakes Doceria,,,,-8.1055498,-34.8895416,4.5,2.0
Camarada Camarão,,,,-8.100946254656,-34.8864100361763,4.5,8.0
Canela Gastrobar,,,,-8.0345201,-34.8987999,4.5,5.0
Capitania Forneria & Mar,,,,-7.9952755,-34.838913,5.0,1.0
Caravela's,,,,-8.0620203,-34.8714104,5.0,4.0
Carlitos Burguer,,,,-8.04387,-34.9092,3.5,7.0
Chez Wiet Patisserie,,,,-8.1007299,-34.8876114,4.5,2.0
China 48,,,,-8.0403204,-34.8926697,4.5,5.0
Chiwake,,,,-8.0479241,-34.8954469,5.0,5.0
Club Bardot,,,,-8.1101398,-34.892849,5.0,2.0
Club Miró,,,,-8.0539904,-34.8879318,4.5,5.0
Club du Vin,,,,-8.1055403,-34.8886108,4.0,2.0
Com.Pão,,,,-8.0415697,-34.8981781,5.0,4.0
Confraria,,,,-8.034333,-34.890739,4.5,6.0
Confraria do Sanduba,,,,-8.04762,-34.90904,3.5,5.0
DaHora Restaurante e Pizzaria,,,,-8.0451899,-34.8937683,4.5,3.0
Delicia da Prazeres,,,,-8.05186,-34.91823,4.5,3.0
Di Branco Recepções,,,,-8.0474701,-34.9085503,4.5,3.0
Diplomata Delicatessen,,,,-8.1086502,-34.8903008,4.0,4.0
Dobradinha do Gordo,,,,-8.045796,-34.907201,4.5,5.0
Downtown Pub,,,,-8.0639,-34.8724599,4.5,11.0
Empadas Santa Massa,,,,-8.103817,-34.8866997,4.5,3.0
Empório Sertanejo,,,,-8.0423002,-34.8914108,4.5,12.0
Espaço Muda,,,,-8.0533199,-34.8791199,4.5,3.0
Famiglia Lucco,,,,-8.0474396,-34.8949585,4.5,4.0
Famiglia Lucco Pizzas,,,,-8.0320997,-34.913681,4.0,6.0
Feirinha do Bom Jesus,,,,-8.0621405,-34.8713989,4.5,5.0
Frontal Ponto de Encontro,,,,-8.0578604,-34.8801994,3.5,5.0
Galeria Café Castro Alves,,,,-8.0533199,-34.8791199,4.5,5.0
Ganache Tortas Finas,,,,-8.1124802,-34.8935699,5.0,3.0
Govinda,,,,-8.0553703,-34.8859215,4.5,3.0
Guaiamum Gigante,,,,-8.0362701,-34.9102783,3.5,7.0
Igarassu,,,,-8.0542775,-34.8812561,4.5,2.0
Irajá,,,,-8.04653,-34.91092,4.0,3.0
Iraq,,,,-8.0565796,-34.8854599,3.5,6.0
Italian Freddo,,,,-8.1008997,-34.8865814,4.5,2.0
Itapissuma,,,,-8.0542775,-34.8812561,5.0,2.0
Itiban,,,,-8.05032177998383,-34.9074477873834,4.0,11.0
Kovacic,,,,-8.0527096,-34.8887444,4.5,3.0
Kwai Burger,,,,-8.03809,-34.90225,4.5,4.0
La Pecora Nera,,,,-8.0493145,-34.9118423,5.0,5.0
Le Olive Pizzeria,,,,-8.0349102,-34.9014511,4.5,3.0
Mutti Capriccio,,,,-8.03706,-34.91138,4.0,7.0
