,Name,Latitude,Longitude,Rating,Review Count
224,Govinda,-8.0553703,-34.8859215,4.5,3
225,Vasconcelos Bistrô e Café,-8.0478401,-34.8891907,4.5,3
226,Igarassu,-8.0542775,-34.8812561,4.5,2
227,Restaurante Acafrao,-8.05443,-34.8880692,4.5,3
228,Sansa,-8.062973,-34.87236,4.5,8
229,Downtown Pub,-8.0639,-34.8724599,4.5,11
230,Paço do Frevo,-8.06154,-34.87092,4.5,7
231,Torre Malakoff,-8.06015249140342,-34.8711306772461,5.0,6
232,Sinagoga Kahal Zur Israel,-8.0619001,-34.8713608,4.5,7
233,Apolo Beer Café,-8.0612497,-34.872139,5.0,4
234,Bar Burburinho,-8.0640259,-34.8724022,4.5,6
235,Bar Central,-8.05779312123268,-34.880135199701,4.0,17
236,Caravela's,-8.0620203,-34.8714104,5.0,4
237,Seu Boteco,-8.063757,-34.871309,4.5,7
238,Feirinha do Bom Jesus,-8.0621405,-34.8713989,4.5,5
239,As Galerias,-8.0612999,-34.87173,4.5,5
240,Cais do Sertão,-8.060006,-34.869925,4.5,5
241,Praça da República,-8.0613403,-34.8777199,5.0,5
242,Cioccolatte Gelateria,-8.0549221,-34.869442,5.0,4
243,Praça do Marco Zero,-8.06301333046358,-34.8712680653359,4.5,4
244,Rock & Ribs,-8.0586004,-34.8696785,4.5,4
245,Bar Teatro Mamulengo,-8.0610504,-34.8716393,4.0,5
246,São Braz Café,-8.0643997,-34.8738785,4.5,3
247,Parque de Esculturas Francisco Brennand,-8.06360159193182,-34.868788326062,4.5,4
248,Bar Central,-8.05779312123268,-34.880135199701,4.0,17
249,Parque 13 de Maio,-8.0569096,-34.8833885,4.5,8
250,Torre Malakoff,-8.06015249140342,-34.8711306772461,5.0,6
251,Restaurante Puxinanã,-8.0576601,-34.8803291,4.5,5
252,Paço do Frevo,-8.06154,-34.87092,4.5,7
253,Praça da República,-8.0613403,-34.8777199,5.0,5
254,Sansa,-8.062973,-34.87236,4.5,8
255,Galeria Café Castro Alves,-8.0533199,-34.8791199,4.5,5
256,Sinagoga Kahal Zur Israel,-8.0619001,-34.8713608,4.5,7
257,Apolo Beer Café,-8.0612497,-34.872139,5.0,4
258,Downtown Pub,-8.0639,-34.8724599,4.5,11
259,Espaço Muda,-8.0533199,-34.8791199,4.5,3
260,Cais do Sertão,-8.060006,-34.869925,4.5,5
261,Restaurante Capitão Lima,-8.0541897,-34.8778,4.0,4
262,Caravela's,-8.0620203,-34.8714104,5.0,4
263,Bar Burburinho,-8.0640259,-34.8724022,4.5,6
264,As Galerias,-8.0612999,-34.87173,4.5,5
265,Itapissuma,-8.0542775,-34.8812561,5.0,2
266,Frontal Ponto de Encontro,-8.0578604,-34.8801994,3.5,5
267,Feirinha do Bom Jesus,-8.0621405,-34.8713989,4.5,5
268,Empório Sertanejo,-8.0423002,-34.8914108,4.5,12
269,O Rei das Coxinhas,-8.0443096,-34.894249,4.5,11
270,China 48,-8.0403204,-34.8926697,4.5,5
271,Dalena,-8.0476161,-34.897091,4.5,9
272,Chiwake,-8.0479241,-34.8954469,5.0,5
273,ZEN,-8.04413390541109,-34.8928966601909,3.5,13
274,Via Paladar,-8.04317,-34.893261,5.0,3
275,Winner Sports Bar,-8.0473804,-34.8937912,4.5,5
276,Com.Pão,-8.0415697,-34.8981781,5.0,4
277,Papaya Verde,-8.0454302,-34.8928795,4.5,4
278,Panificadora e Confeitaria Espinheiro,-8.0422497,-34.8923988,4.5,3
279,Restaurante Amarelo Manga,-8.0437498,-34.8926811,4.5,3
280,Pão de Açúcar,-8.0460616,-34.8972255,4.5,6
281,Bodega do Futuro,-8.0427656,-34.8987312,4.0,7
282,Confraria,-8.034333,-34.890739,4.5,6
283,Buca Trattoria,-8.0451803,-34.8933601,4.5,3
284,Cachaçaria Tradição,-8.0449434,-34.8997402,4.5,5
285,DaHora Restaurante e Pizzaria,-8.0451899,-34.8937683,4.5,3
