Uid,Name,Empty Slots,Free Bikes,Renting Bikes,Returning Bikes,Latitude,Longitude,Rating,Review Count
0,Restaurante Acafrao,0.0,0,0,0,-8.05443,-34.8880692,4.5,3
0,Restaurante Amarelo Manga,0.0,0,0,0,-8.0437498,-34.8926811,4.5,3
0,Restaurante Capitão Lima,0.0,0,0,0,-8.0541897,-34.8778,4.0,4
0,Restaurante Puxinanã,0.0,0,0,0,-8.0576601,-34.8803291,4.5,5
0,Rock & Ribs,0.0,0,0,0,-8.0586004,-34.8696785,4.5,4
0,Rua do lazer,0.0,0,0,0,-8.05469513775016,-34.8873583421417,4.5,4
0,Sabor do Doce,0.0,0,0,0,-8.0267601,-34.9048615,4.0,3
0,Sansa,0.0,0,0,0,-8.062973,-34.87236,4.5,8
0,Santa Pizza,0.0,0,0,0,-8.0421658,-34.9084854,4.0,4
0,Seu Boteco,0.0,0,0,0,-8.063757,-34.871309,4.5,7
0,Sinagoga Kahal Zur Israel,0.0,0,0,0,-8.0619001,-34.8713608,4.5,7
0,Sob Medida,0.0,0,0,0,-7.99626491926441,-34.8418368672758,1.0,1
0,Speciale Pizzas Artesanais,0.0,0,0,0,-8.04589,-34.90691,3.5,6
0,Sugoi,0.0,0,0,0,-7.9998088,-34.8392563,4.0,1
0,São Braz,0.0,0,0,0,-8.0543404,-34.8833504,4.5,3
0,São Braz Café,0.0,0,0,0,-8.0643997,-34.8738785,4.5,3
0,Sítio Trindade,0.0,0,0,0,-8.02981610254743,-34.9123603915405,4.5,3
0,Tapioca da Maria,0.0,0,0,0,-8.0531301,-34.8873787,4.5,3
0,Tay San Yuen,0.0,0,0,0,-8.04145816406097,-34.8938260227442,4.5,3
0,Terracio Restaurante,0.0,0,0,0,-8.0439501,-34.8928909,5.0,2
0,Texanno's,0.0,0,0,0,-8.035727,-34.908796,4.0,6
0,Tomaselli,0.0,0,0,0,-8.1029196,-34.8864594,4.5,3
0,Torre Malakoff,0.0,0,0,0,-8.06015249140342,-34.8711306772461,5.0,6
